Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
20000,0.20296605,2.8861043,539.7037037037037,-261.55555555555554,-261.55555555555554,1.0
30000,1.8331534,0.24229577,None,None,None,1.0
40000,1.9366817,1.6617032e-05,749.0,-181.03703703703704,-181.03703703703704,1.0
50000,2.1182117,1.6617032e-05,None,None,None,1.0
60000,2.1389577,1.6617032e-05,749.0,0.0,0.0,1.0
70000,2.1478791,1.6617032e-05,None,None,None,1.0
80000,2.1495817,1.6617032e-05,749.0,0.0,0.0,1.0
90000,2.1496484,1.6617032e-05,None,None,None,1.0
100000,2.1496663,1.6617032e-05,749.0,0.0,0.0,1.0
110000,2.149301,1.6617032e-05,None,None,None,1.0
120000,2.1491718,1.6617032e-05,749.0,0.0,0.0,1.0
130000,2.1487827,1.6617032e-05,None,None,None,1.0
140000,2.148606,1.6617032e-05,749.0,0.0,0.0,1.0
150000,2.1482203,1.6617032e-05,None,None,None,1.0
160000,2.1480005,1.6617032e-05,749.0,0.0,0.0,1.0
170000,2.1476269,1.6617032e-05,None,None,None,1.0
180000,2.1473606,1.6617032e-05,749.0,0.0,0.0,1.0
190000,2.1470041,1.6617032e-05,None,None,None,1.0
200000,2.1466908,1.6617032e-05,749.0,0.0,0.0,1.0
210000,2.1463568,1.6617032e-05,None,None,None,1.0
220000,2.1459959,1.6617032e-05,749.0,0.0,0.0,1.0
230000,2.1456878,1.6617032e-05,None,None,None,1.0
240000,2.1452787,1.6617032e-05,749.0,0.0,0.0,1.0
250000,2.1450005,1.6617032e-05,None,None,None,1.0
260000,2.1445425,1.6617032e-05,749.0,0.0,0.0,1.0
270000,2.1442962,1.6617032e-05,None,None,None,1.0
280000,2.143789,1.6617032e-05,749.0,0.0,0.0,1.0
290000,2.143578,1.6617032e-05,None,None,None,1.0
300000,2.1430235,1.6617032e-05,749.0,0.0,0.0,1.0
310000,2.142849,1.6617032e-05,749.0,0.0,0.0,1.0
320000,2.1422465,1.6617032e-05,749.0,0.0,0.0,1.0
330000,2.1421113,1.6617032e-05,749.0,0.0,0.0,1.0
340000,2.1414611,1.6617032e-05,749.0,0.0,0.0,1.0
350000,2.1413653,1.6617032e-05,749.0,0.0,0.0,1.0
360000,2.140669,1.6617032e-05,749.0,0.0,0.0,1.0
370000,2.1406138,1.6617032e-05,749.0,0.0,0.0,1.0
380000,2.1398733,1.6617032e-05,749.0,0.0,0.0,1.0
390000,2.1398582,1.6617032e-05,749.0,0.0,0.0,1.0
400000,2.139075,1.6617032e-05,749.0,0.0,0.0,1.0
410000,2.1390748,1.6617032e-05,749.0,0.0,0.0,1.0
420000,2.1383016,1.6617032e-05,749.0,0.0,0.0,1.0
430000,2.138277,1.6617032e-05,749.0,0.0,0.0,1.0
440000,2.1375504,1.6617032e-05,749.0,0.0,0.0,1.0
450000,2.1374815,1.6617032e-05,749.0,0.0,0.0,1.0
460000,2.136798,1.6617032e-05,749.0,0.0,0.0,1.0
470000,2.13669,1.6617032e-05,749.0,0.0,0.0,1.0
480000,2.1360507,1.6617032e-05,749.0,0.0,0.0,1.0
490000,2.1359043,1.6617032e-05,749.0,0.0,0.0,1.0
500000,2.135311,1.6617032e-05,749.0,0.0,0.0,1.0
510000,2.135126,1.6617034e-05,749.0,0.0,0.0,1.0
520000,2.134579,1.6617032e-05,749.0,0.0,0.0,1.0
530000,2.1343582,1.6617034e-05,749.0,0.0,0.0,1.0
540000,2.1338563,1.6617032e-05,749.0,0.0,0.0,1.0
550000,2.1336002,1.6617032e-05,749.0,0.0,0.0,1.0
560000,2.1331427,1.6617032e-05,749.0,0.0,0.0,1.0
570000,2.1328576,1.6617032e-05,749.0,0.0,0.0,1.0
580000,2.1324444,1.6617032e-05,749.0,0.0,0.0,1.0
590000,2.1321278,1.6617032e-05,749.0,0.0,0.0,1.0
600000,2.1317606,1.6617032e-05,749.0,0.0,0.0,1.0
610000,2.1314163,1.6617032e-05,749.0,0.0,0.0,1.0
620000,2.1310956,1.6617032e-05,749.0,0.0,0.0,1.0
630000,2.1307223,1.6617032e-05,749.0,0.0,0.0,1.0
640000,2.1304457,1.6617032e-05,749.0,0.0,0.0,1.0
650000,2.1300492,1.6617032e-05,749.0,0.0,0.0,1.0
660000,2.129817,1.6617032e-05,749.0,0.0,0.0,1.0
670000,2.1293986,1.6617034e-05,749.0,0.0,0.0,1.0
680000,2.1292067,1.6617032e-05,749.0,0.0,0.0,1.0
690000,2.1287706,1.6617032e-05,749.0,0.0,0.0,1.0
700000,2.128618,1.6617032e-05,749.0,0.0,0.0,1.0
710000,2.12817,1.6617032e-05,749.0,0.0,0.0,1.0
720000,2.1280565,1.6617032e-05,749.0,0.0,0.0,1.0
730000,2.1275964,1.6617032e-05,749.0,0.0,0.0,1.0
740000,2.1275208,1.6617032e-05,749.0,None,None,1.0
750000,2.1270528,1.6617032e-05,749.0,0.0,0.0,1.0
760000,2.1270065,1.6617032e-05,749.0,None,None,1.0
770000,2.1265404,1.6617032e-05,749.0,0.0,0.0,1.0
780000,2.1265216,1.6617032e-05,749.0,None,None,1.0
790000,2.12606,1.6617034e-05,749.0,0.0,0.0,1.0
800000,2.12606,1.6617032e-05,None,None,None,1.0
810000,2.1256208,1.6617032e-05,749.0,0.0,0.0,1.0
820000,2.1256154,1.6617032e-05,None,None,None,1.0
830000,2.125233,1.6617032e-05,749.0,0.0,0.0,1.0
840000,2.1252081,1.6617032e-05,None,None,None,1.0
850000,2.1248794,1.6617032e-05,749.0,0.0,0.0,1.0
860000,2.124839,1.6617032e-05,None,None,None,1.0
870000,2.1245673,1.6617032e-05,749.0,0.0,0.0,1.0
880000,2.1245112,1.6617032e-05,None,None,None,1.0
890000,2.124288,1.6617032e-05,749.0,0.0,0.0,1.0
900000,2.1242254,1.6617032e-05,None,None,None,1.0
910000,2.1240506,1.6617032e-05,749.0,0.0,0.0,1.0
920000,2.1239846,1.6617032e-05,None,None,None,1.0
930000,2.1238542,1.6617032e-05,749.0,0.0,0.0,1.0
940000,2.1237915,1.6617032e-05,None,None,None,1.0
950000,2.1237028,1.6617032e-05,749.0,0.0,0.0,1.0
960000,2.1236482,1.6617032e-05,None,None,None,1.0
970000,2.123595,1.6617032e-05,749.0,0.0,0.0,1.0
980000,2.1235554,1.6617032e-05,None,None,None,1.0
990000,2.1235332,1.6617032e-05,749.0,0.0,0.0,1.0
1000000,2.1235127,1.6617032e-05,None,None,None,1.0
